Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Link to wine,Label image,Wine price
Xavier Vignon,Xavier Cuvée Châteauneuf-du-Pape,2000,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.3,,,,,2026,Red Wine,https://www.vivino.com/wines/166469909,,SEK 899
Château Lagrange,Saint-Julien (Grand Cru Classé),2021,Saint-Julien,France,Bordeaux Saint-Julien,4.1,,,,,2036,Red Wine,https://www.vivino.com/wines/167063277,,SEK 699
Jean-Maurice Raffault,Le Puy Chinon,2023,Chinon,France,French Middle Loire Cabernet Franc Red,4.0,,Nybrogatan 62,,,2030,Red Wine,https://www.vivino.com/wines/173994662,,SEK 279
Château Margaux,Pavillon Rouge du Château Margaux,1997,Margaux,France,Bordeaux Margaux,4.4,,,,,2027,Red Wine,https://www.vivino.com/wines/1289543,,SEK 3000
Louis Jadot,Chateau des Jacques Clos de Rochegrès Moulin-à-Vent,2020,Moulin-à-Vent,France,Beaujolais Red,3.9,,,,,2028,Red Wine,https://www.vivino.com/wines/165930319,,SEK 299
Domaine de Rochegrés,Moulin-à-Vent,2020,Moulin-à-Vent,France,Beaujolais Red,3.8,,,,,2026,Red Wine,https://www.vivino.com/wines/163680263,,SEK 209
Château Durfort-Vivens,Margaux (Grand Cru Classé),2004,Margaux,France,Bordeaux Margaux,4.1,,,,,2026,Red Wine,https://www.vivino.com/wines/3796784,,SEK 1181
Domaine Marquis d'Angerville,Volnay Champans 1er Cru,2023,Volnay 1er Cru 'Champans',France,Burgundy Côte de Beaune Red,4.3,,,,,2038,Red Wine,https://www.vivino.com/wines/174060258,,SEK 1599
Château de Lauga,Haut-Médoc,2014,Haut-Médoc,France,Bordeaux Haut-Médoc Red,3.8,,,,,2029,Red Wine,https://www.vivino.com/wines/30877755,,SEK 295
Château Latour à Pomerol,Pomerol,2006,Pomerol,France,Bordeaux Pomerol,4.3,,,,,2026,Red Wine,https://www.vivino.com/wines/1183331,,SEK 1300
Château Latour à Pomerol,Pomerol,2009,Pomerol,France,Bordeaux Pomerol,4.3,,,,,2029,Red Wine,https://www.vivino.com/wines/1183233,,SEK 1600
Château Mont-Redon,Châteauneuf-du-Pape,2021,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,,Nybrogatan 62,,,2031,Red Wine,https://www.vivino.com/wines/168363830,,SEK 369
Château Malescot St. Exupery,La Dame de Malescot Margaux,2018,Margaux,France,Bordeaux Margaux,4.1,,,,,2033,Red Wine,https://www.vivino.com/wines/156621941,,SEK 372
Château Brane-Cantenac,Baron de Brane Margaux,2014,Margaux,France,Bordeaux Margaux,4.0,,Nybrogatan 62,,,2029,Red Wine,https://www.vivino.com/wines/5410590,,SEK 447
Château d'Arsac,Margaux,2014,Margaux,France,Bordeaux Margaux,4.0,,Nybrogatan 62,,,,Red Wine,https://www.vivino.com/wines/6918978,,SEK 249
Château Latour,Pauillac de Latour,2020,Pauillac,France,Bordeaux Pauillac,4.3,,,,,2035,Red Wine,https://www.vivino.com/wines/163631212,,SEK 1249
Camille Giroud,Mercurey,2022,Mercurey,France,Burgundy Côte Chalonnaise Red,4.1,,,,,2032,Red Wine,https://www.vivino.com/wines/176880280,,SEK 449
Veuve Clicquot,Brut (Carte Jaune) Champagne,,Champagne,France,French Champagne,4.3,,Nybrogatan 62,,,2026,Sparkling,https://www.vivino.com/wines/164942636,,SEK 579
Domaine du Clos des Fées,Le Clos des Fées (Hervé Bizeul),2019,Côtes du Roussillon,France,Languedoc-Roussillon Red,4.2,,Nybrogatan 62,,,2034,Red Wine,https://www.vivino.com/wines/161616079,,SEK 549
Vincent Girardin,Les Vieilles Vignes Volnay,2022,Volnay,France,Burgundy Côte de Beaune Red,4.1,,Nybrogatan 62,,,2032,Red Wine,https://www.vivino.com/wines/176503304,,SEK 459
